awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
18K18170,阿南工業高等専門学校,太田 健吾,プレゼンテーションスキルの向上を支援する模範音声の自動生成システム,本研究では、人工知能の一分野である音声言語処理の技術を用いて、発表者の模範となる理想的な発表音声を自動生成し、効果的な自主練習を支援するシステムの構築に取り組んだ。このシステムを構築するための要素技術として、冗長表現を発表音声中から自動検出・除去する技術、不適切な単語や言い回し等をより簡易的で発表に適切なものに変換するための技術、発表音声の発話内容を高精度に音声認識するための技術、発表音声の韻律を改善し、話者の個人性を維持しながら模範音声を生成するための技術についてそれぞれ検討した。,若手研究,小区分62030:学習支援システム関連,音声言語処理,自然言語処理,発表音声,プレゼンテーションスキル,音声認識,音声合成,話し方評価,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K18169,岐阜経済大学,佐々木 喜一郎,IoTデバイスを活用した特別支援学校における教育補助アプリケーションの開発,学習者一人一人のニーズに合わせた特別支援教育を実現するタブレット型コンピュータに対応した学習支援システムを開発した。とりわけ、学習者にとって、関心が高い身近な風景や人物などを活用したデジタル学習コンテンツをより簡単に制作できるようになった。また、IoTデバイスを活用した臨場感に溢れるデジタル学習コンテンツを開発し、成長に至る発達を通じて概念を獲得する過程である概念行動形成の学習を可能とした。,若手研究,小区分62030:学習支援システム関連,学習支援システム,タブレット型コンピュータ,IoT,特別支援教育,概念行動形成,見本合わせ学習,組み合わせ学習,肢体の微細運動,タブレットデバイス,ICチップ,学習コンテンツ,タブレット,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K18168,岡山大学,Yucel Zeynep,Automatic detection of level of students' engagement,本研究は、ビデオ・データに基づいて学習者の集中力のレベルを自動的に認識することを目標とする。 研究の意義として、システムが集中力の低下を認識できれば、ユーザーの適切な支援が可能となることを考えられている。,若手研究,小区分62030:学習支援システム関連,Engagement,Attention,Behavior,E-learning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K18167,三重大学,大野 恵理,探求の共同体を応用した小学校英語担当教員用オンライン研修コースの開発と実践,本研究では、以下の4点を明らかにすることができた。（１）オンライン教員研修は、理論に結びついた実践のテーマにすることニーズがあること、（２）小学校教員が外国語を指導する上での喫緊の課題は「フォニックスの基礎知識や指導法」で、本研究ではフォニックスを中心に行った、（３）オンライン研修に参加した教員に、探求の学習共同体が成立するように自立学習とオンライン・グループワークを課し、全ての参加者がオンライン研修の全日程を修了することができた、（４）全ての参加者が、フォニックスの基礎知識や指導法を身に付けることができた。,若手研究,小区分62030:学習支援システム関連,ICT,小学校外国語,教員研修,オンライン,探求の学習共同体,オンライン教員研修,探求共同体,フォニックス,小学校外国語活動,小学校教員,オンライン研修,探求の共同体,カリキュラム,英語,オンラインコース,研修,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K18166,独立行政法人大学入試センター,宮澤 芳光,項目露出率の最小化のための整数計画問題を用いた等質適応型テストの提案,本研究では，整数計画問題を用いて露出数を最小化し，能力が同等な受検者であっても，同一の測定精度を保ちつつ，異なる項目を適応的に出題できる等質適応型テストを提案した。具体的には，1)露出数を最小化し，2)テストの長さと3)テスト間の測定精度が等質であるにも関わらず，4)異なる項目を出題できる適応型テストを提案した。研究成果は，2019年にJSAI 2019 Excellence Awardを受賞し，2020年にAdvances in Artificial Intelligenceに掲載されている。,若手研究,小区分62030:学習支援システム関連,適応型テスト,eテスティング,項目反応理論,教育工学,Computer Based Testing,数理計画問題,テスト構成,e-テスティング,Computer Based testing,等質適応型テスト,CBT,複数等質テスト,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K18165,東京大学,高本 尚弘,小児内視鏡手術トレーニングのための客観性と即時性を備えた手技評価システムの開発,これまでの手技評価は、ドライボックス内の単純な縫合タスクにおいて、縫合後の創の状,若手研究,小区分62030:学習支援システム関連,小児,内視鏡手術,トレーニング,手技評価,鉗子,圧検出,内視鏡外科手術,高難度症例,即時性,客観性,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K18164,筑波大学,根本 清貴,eラーニングシステムを活用した統合的かつ双方向的な脳画像解析学習支援環境の開発,eラーニングシステムを活用し、脳画像解析システム、学習コンテンツ、個別の内容に応じた研究支援から構成される統合的な脳画像解析学習支援環境の開発を行った。このシステムの特徴は、学習コンテンツだけではなく、脳画像解析システムも提供すること、そして、双方向的な学習環境を提供することにより、具体的な支援も得られることである。これにより、初学者は容易に脳画像解析環境にアクセスできるようになり、経験者は、自身のデータの論文化に必要な情報などを入手することができるようになった。,若手研究,小区分62030:学習支援システム関連,脳画像解析,e-ラーニング,脳画像解析　e-ラーニング,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K18163,室蘭工業大学,柴田 傑,振動と視覚を組み合わせた動作教示システムの開発  -三味線の学習支援への応用-,楽器演奏などの身体技能を学習する場合，身体の動きを把握して練習することが重要である．そこで，学習者に視覚によって身体動作を提示する手法が研究されている．しかし，三次元空間中の詳細な身体の動きを視覚のみで把握することは難しい．また，視覚での情報提示に代わって力触覚による動作の提示システムも研究されているが，装置の制限などによって動作そのものを阻害する可能性がある．そこで，本研究では動きを阻害せずに効果的に動作を教示するために，振動提示と視覚提示を組み合わせた動作教示システムの開発を目指した．特に，楽器演奏の技能の教示場面として三味線の学習を例とし，三味線演奏の動作を教示するシステムを開発した．,若手研究,小区分62030:学習支援システム関連,身体動作,学習支援,バーチャルリアリティ,振動刺激,身体動作解析,マルチモーダル,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19K20428,宝塚医療大学,立山 直,超音波教育の効果的な実技プログラムの検討,柔道整復師養成校では超音波画像診断装置（エコー）の操作に関する実技教育が広まりつつある。その際、台数に制限があるため、学生がエコーに触れる時間が少ないといった問題が発生する可能性が高い。そこで、養成校4校120名の学生の協力を得て、学生に対し操作方法を動画教材で伝える方法と、対面で伝える方法を2群に分けて実施し、この2群間における理解度の差を検証する。,若手研究,小区分62030:学習支援システム関連,柔整教育,超音波診断装置,反転授業,オンデマンド,超音波授業教材,教育,eラーニング,柔道整復師,肘関節AOL,膝関節MCL,超音波教育,教育効果,動画教材,超音波画像診断装置,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19K20427,日本福祉大学,村川 弘城,ゲーム内での目標を達成するために有効な方略に注目した教育方法の提案,本研究では、ゲーム型教材内での目標を達成するために有効な方略、いわゆる攻略法への向き合い方が、教育効果に与える影響を明らかにする。そのために、①ゲーム型教材の攻略法を分類し、その分類を元に②利用者がどのようにゲーム型教材と向き合うのかを示し、それらの関係が③時間経過によってどのように変化するのかを示し、④攻略法を考案する方法の違いによって攻略法の内容やその順序に違いが表れるのかを明らかにする。,若手研究,小区分62030:学習支援システム関連,教育方法,ゲーム型教材,学習効果,戦略,教育効果,方略,教材研究,ゲーム教材,方略の獲得,査読,メタ認知,教育工学,ゲーミフィケーション,ゲーム,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
