awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
18K18189,滋賀県琵琶湖環境科学研究センター,山口 保彦,高精度窒素同位体比分析による水圏溶存有機物の生成源の新指標確立,水圏環境中の溶存有機物（DOM）の分子サイズ別の起源と動態を明らかにする、新たな手法を開発することを目的とし、(1) DOMの分子サイズ別の生分解速度の分布把握とモデル化、(2) DOMの分子サイズ別分画濃縮法開発と窒素同位体比分析適用の2課題に取り組んだ。有機物長期分解実験の結果から、分子サイズとDOM生分解特性の関係性について新たなモデルを考案するとともに、分子サイズ別のDOM分解速度定数をSEC-TOC測定パラメータから予測可能な経験式を得た。限外濾過と固相抽出を組み合わせ、数十Lスケールの天然環境水から、高純度に分子サイズ別分画したDOM試料を回収できるシステムを開発した。,若手研究,小区分63010:環境動態解析関連,溶存有機物,窒素同位体比,分子サイズ,アミノ酸,琵琶湖,窒素循環,炭素同位体比,微生物,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K18188,国立研究開発法人海洋研究開発機構,磯部 紀之,深海底にセルロースはどれほど存在するか,暗黒の世界である深海では、光合成による有機物生産ができないため、深海生物の栄養源は海洋表層から沈んでくる有機物に頼ることになる。このとき、海洋表層から落ちてくる有機物量と実際に深海底で消費されている有機物量には大きなギャップがあることが知られていた。このギャップを埋めるもののひとつとして、難分解性結晶多糖であるセルロースが提案されていた。しかしこの仮説の裏付けに必要な「深海の底に溜まった泥のなかにどれくらいのセルロースがあるのか」を実際に測定する方法は存在しなかった。そこで本研究では、木質科学の知見を組み合わせて新たなセルロース抽出・定量方法を開発し、堆積物中のセルロースの定量を行った。,若手研究,小区分63010:環境動態解析関連,セルロース,堆積物,重液分離,有機物,深海,溶剤,酵素,多糖,抽出,深海堆積物,溶解,再生,海洋堆積物,深海底,マッピング,有機地球化学,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K18187,国立研究開発法人海洋研究開発機構,岩崎 晋弥,有孔虫殻密度の精密測定による南大洋氷期炭素レザバーの探索,"本研究はマイクロフォーカスX線CTスキャナによる浮遊性有孔虫の殻溶解測定を用いて、南大洋における最終氷期以降の深層水炭酸イオン濃度変動を定量的に復元し、大気二酸化炭素濃度の急激な上昇に重要な役割を果たしたと考えられている南大洋（太平洋セクター）における海洋炭素循環メカニズムの解明を目的としている。そのために令和元年度は、前年度に引き続き、南大洋チリ沖における深層水炭酸イオン濃度変動の復元に取り組んだ。具体的な研究内容としては、チリ沿岸域で採取された3本のピストンコア試料（MR16-09_leg.2航海で採取）を利用し、所属研究機関が所有するマイクロフォーカスX線CTスキャナによる浮遊性有孔虫の殻溶解指標の測定を通して、最終氷期極大期以降の深層水炭酸イオン濃度変動を定量的に復元した。その結果、水深2787 mのピストンコアにおいて最終氷期極大期（19,000年前）から最終退氷期（16,000年前）にかけて、炭酸イオン濃度が著しく低下するイベントを発見した。この変動は、大気中への二酸化炭素の放出域である南大洋において、従来の理解よりも複雑な海洋炭素循メカニズムが存在していたことを示唆している。この研究成果を令和元年11月に産業技術総合研究所（茨城県つくば市）で開催された2019年度地球環境史学会において発表した他、その内容をまとめた筆頭論文を近く国際誌に投稿する予定である。また2019年度はマイクロフォーカスX線CTスキャナによる有孔虫殻密度測定の古海洋研究指標としての重要性を示す研究成果として筆頭論文を2本、国際誌（Scientific ReportsおよびGeophysics Geochemistry Geosystems）に掲載するなど、本研究の成果公表に重点をおいて研究活動を行なった。",若手研究,小区分63010:環境動態解析関連,南大洋,炭酸塩堆積物,海洋炭素循環,最終氷期,深層水循環,浮遊性有孔虫,炭素循環,気候変動,マイクロX線CT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K18186,国立研究開発法人海洋研究開発機構,窪田 薫,鮮新世以降の大気二酸化炭素分圧の高精度制約,浮遊性有孔虫のMg/Ca比、酸素同位体、ホウ素同位体を一つの試料から測定する一連の手法を、国内で初めて確立できたことは学術的意義が非常に大きい。手法およびその応用を報じる論文を国際学術誌Scientific Reportsから報告した。また、浮遊性有孔虫のホウ素同位体測定に必要な微量化の技術開発の過程で、様々な困難に直面したが、環境モニタリングを緻密に行うことで、ホウ素の汚染源を複数特定することができた。その結果についても国際学術誌Chemical Geologyから報告した。先進的な技術を有するアルフレッド・ウェゲナー極地研究所に１ヶ月滞在し、手法を学んだことも非常に大きかった。,若手研究,小区分63010:環境動態解析関連,ホウ素同位体,ホウ素,炭素循環,有孔虫,海底堆積物,質量分析,二酸化炭素,サンゴ,同位体,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K18185,国立研究開発法人情報通信研究機構,佐藤 知紘,衛星グローバル観測によるCO2炭素同位体比を指標とした炭素収支の定量的解明,地球規模の温暖化を予測する上で、陸域・海洋・人間活動等のCO2排出や吸収の収支を理解することは重要であり、炭素同位体比はその強力な指標となる。,若手研究,小区分63010:環境動態解析関連,地球温暖化,衛星リモートセンシング,炭素同位体比,リトリーバル解析,機械学習,温室効果ガス,地球炭素収支,同位体比,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K18184,国立研究開発法人産業技術総合研究所,青柳 智,安定同位体追跡と分離培養で読み解く地下圏の炭素・エネルギー循環を担う微生物動態,本研究は微生物による嫌気酢酸酸化のカップリング反応である結晶性酸化鉄の還元を担う微生物の多様性と代謝メカニズムを明らかにすることを目的とした。その結果、新規な鉄結晶性酸化鉄を還元する微生物は、これまで知られていない新しい電子伝達機構を有することが強く示唆された。また海底下コアサンプルを微生物接種源に用いて結晶性酸化鉄を基質に長期間集積培養を実施し、新たにFirmicutes門に属する鉄還元微生物の分離培養に成功した。,若手研究,小区分63010:環境動態解析関連,環境微生物,安定同位体追跡,鉄還元,酢酸酸化,炭素循環,環境分析,分離培養,電子伝達機構,高感度SIP,鉄還元菌,結晶性鉄,微生物動態,嫌気酢酸酸化微生物,炭素動態,細胞外電子伝達機構,集積培養,鉄(III)還元菌,嫌気酢酸代謝,地下圏,ゲノム解析,安定同位体追跡法,SIP,エネルギーフラックス,stable isotope probing,エネルギー循環,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K18183,国立極地研究所,THIEBOT J.B.,Penguins as ocean sentinels: using video loggers attached on predators to   understand the ecological niche of jellyfishes in Antarctica,本研究は、南極域においてペンギンなどの高次捕食動物がクラゲを食べる行動を定量的に把握し、クラゲ捕食の理由を調べるために実施した。世界7カ国の研究者と共同で、12箇所のアデリーペンギン繁殖地で、親鳥へのビデオ記録計の装着を２年間実施した。その結果、アデリーペンギンや他の捕食動物が、従来考えられていたよりも高頻度でクラゲを捕食することが明らかになった。クラゲ捕食のために必要な潜水エネルギーコストは、獲得されるエネルギーよりも大きいと推定され、クラゲ捕食の理由はエネルギー獲得以外にあることが示唆された。体内で不足する栄養素を補給している可能性や、クラゲの生化学的組成の調査の必要性が示唆された。,若手研究,小区分63010:環境動態解析関連,Predator-prey,Jellyfish,Penguin,Bio-logging,Video,Antarctica,predator-prey,Southern Ocean,jellyfish,penguin,bio-logging,video,trophic interactions,habitat modelling,global changes,Environmental change,Biological oceanography,Water and material cycle,Polar regions,Remote sensing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K18182,東海大学,野坂 裕一,春季親潮珪藻ブルーム期の海洋表面マイクロ層における蓄積物質とその濃度の把握,親潮春季珪藻ブルーム期の海洋表面マイクロ層における植物プランクトン現存量や透明細胞外重合体粒子（TEP）などの調査を行った。海洋表面マイクロ層における植物プランクトンとTEP濃度は観測点によって濃度が異なったが、マイクロ層とその直下の海水を比較した場合、それぞれ最大3倍と20倍マイクロ層の方が高くなることが明らかとなった。また、培養実験の結果から、海洋表面マイクロ層のTEPはその直下の海水に生息する植物プランクトンから生産されたことが示唆された。,若手研究,小区分63010:環境動態解析関連,海洋表面マイクロ層,親潮域,植物プランクトン,透明細胞外重合体粒子,糖類,脂質,バクテリア,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K18181,静岡県立大学,望月 智貴,樹木由来ガス状のギ酸と酢酸の放出特性の網羅的解析と放出量の解明,ギ酸と酢酸はそれらの凝集や既存の無機粒子への吸着により有機エアロゾルの生成に寄与する。ギ酸や酢酸に富む有機エアロゾルは地球の冷却効果や降水などに関与し、気候や気象に影響を及ぼす。ギ酸と酢酸の起源は人間活動由来と植物が放出するテルペン類酸化由来であり、植物起源の重要性が指摘された。一方、植物はギ酸と酢酸を合成するが、植物から直接放出されるガス状のギ酸と酢酸測定例は少なく、アジア域での測定報告はない。本研究では、日本の主要樹木上位10種と道路緑化樹木上位10種のガス状のギ酸と酢酸の直接放出の有無（スクリーニング測定）とそれらの放出量を求める。さらに、植物から直接放出されるギ酸と酢酸の量が、植物起源に占める割合を明らかにすることを目的とする。,若手研究,小区分63010:環境動態解析関連,大気環境,有機ガス,VOC,エアロゾル,ギ酸,酢酸,針葉樹,広葉樹,HPLC,主要森林樹木,道路緑化樹木,有機エアロゾル,テルペン,有機酸ガス,大気化学,インベントリ,樹木,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K18180,秋田県立大学,井上 誠,ドローン(UAV)を用いた北日本上空における温室効果ガスの鉛直分布観測,本研究では、大気中の二酸化炭素(CO2)濃度を観測するためのドローンを開発し、秋田県大潟村上空においてCO2の鉛直分布観測を実施した。2018年から2019年までの約１年間の飛行観測結果をまとめ、夏季には上空よりも地上でCO2濃度が低く、それ以外の季節では濃度の鉛直勾配が小さくなる傾向であることが明らかになった。そのようなCO2濃度の鉛直分布の季節性には、地上の植生分布が深く関わっていることが示唆された。また、大潟村上空でドローンによる水平観測も実施してCO2濃度の水平分布データと気象データの解析を行い、各観測日におけるCO2濃度分布の形成要因を調べた。,若手研究,小区分63010:環境動態解析関連,温室効果ガス,ドローン,二酸化炭素,鉛直分布,北日本,観測手法,非分散型赤外(NDIR)分析計,水平分布,大気観測,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
