awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
18K18289,大手前大学,谷村 要,コンテンツツーリズムにおけるコト-モノ-ヒトの相互作用に関する実態調査研究,本研究ではコンテンツに価値づけられた地域（「聖地」）におけるコト（アニメ作品）-モノ（地域資源）-ヒト（地域住民・ファンら関係者）が関与しあうことで生じる事象について、とらえることを試みた。具体的には、静岡県沼津市で「聖地」化初期から継続して実施してきたフィールドワークや聞き取り調査の知見を、ファン研究やまんが研究の理論的な枠組みを用いて考察した。結果、「聖地化」の継続に伴い地域住民・ファンの交流が各所で活発化する中、作品や地域資源への理解が深まっていき、その読解に基づく独自の解釈を基盤とした「聖地」（「キャラ縁の聖地」）の成立や地域活動がなされている状況が描き出された。,若手研究,小区分80020:観光学関連,アニメ聖地巡礼者,キャラ縁の聖地,アニメツーリズム,舞台探訪者,ファン文化,ファン研究,コンバージェンス・カルチャー,参加型文化,アニメ聖地巡礼,キャラ聖地,キャラ縁,ハイブリッド・リアリティ,関係人口,ジモト,場所性,コンバージェンスカルチャー,静岡県沼津市,ジモト型コミュニティ,非人的アクター,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K18288,名城大学,森 龍太,旅行費用法に基づく仮想行動法による観光地全体のレクリエーション価値の計測の精緻化,観光地では、将来的な環境変化が予見される際、当該サイトのレクリエーション価値の変化や影響を事前に把握することが求められる。本研究では、旅行費用法(TCM)に基づく仮想行動法(CBM)によるレク価値の評価に際し、複数回のナンバープレート調査を実施し、先行研究の課題となっていたレクリエーションサイトの訪問需要特性を考慮した評価を試みた。その結果、本研究で推定した県レベルの評価値は、関連しそうな既存統計を組み合わせた分布や特定時期の調査のみから作成した分布から推定した評価値と、数倍程度の差がみられた。すなわち、本研究の評価プロセスは、観光地全体のレク価値をより精緻に評価し得ると示唆された。,若手研究,小区分80020:観光学関連,ナンバープレート調査,旅行費用法,仮想行動法,観光政策,レクリエーション価値,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K18287,静岡英和学院大学,崔 瑛,観光分野における起業家の育成と支援に関する研究,本研究では，観光分野の起業家教育・支援の動向を①既往研究のレビュー，②国内外の事例調査を通して整理・考察した。また，日本全国の起業家教育の協力事業者への調査により，観光分野に特化した起業家教育の現状を把握するとともに，起業家精神育成の視点を取り入れた観光教育プログラムを設計し，実践・検討した。世界各国の観光教育においては，起業家教育の重要性が認識され，教授法やプログラム構築の方向性が議論されることを把握した。また，日本における観光分野に特化した起業家教育の必要性を確認した。長期的な計画のもとで，教育プログラムを構築できる基盤づくり，観光起業家教育モデルの構築と成果検証が今後の検討課題である。,若手研究,小区分80020:観光学関連,起業家教育,アントレプレナーシップ,起業家精神,観光ベンチャー,観光起業家,女性起業家,イノベーション,観光教育,地域資源活用,新商品開発,お土産,アントレプレナー,起業家育成,観光ビジネス,PBL,起業支援,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K18286,東洋大学,楽 奕平,リアルタイムの情報提供による自律的な不便益回避と観光行動の誘発に関する実証研究,本研究では、交通渋滞予測と周辺観光利便施設に関する情報提供を受けた利用者がどのような選択行動を取るかに着目して、実証実験を通じて情報提供の行動誘発効果を検証した。第一に、経路検索条件及び走行軌跡データを用いて、立ち寄りの特定手法を提案し、帰宅途中の追加的立ち寄りの実態を把握した。立ち寄りが発生しやすい時間帯、滞在時間、立ち寄り施設、立ち寄りによる渋滞回避効果などが明らかとなった。第二に、渋滞予測情報と周辺観光利便施設の情報を提供するスマートフォンアプリを作成して実証実験を行い、被験者群と非被験者群の立ち寄り行動の比較を通じて情報提供による行動誘発効果を検証した。,若手研究,小区分80020:観光学関連,情報提供,観光行動,追加的立ち寄り,渋滞回避,立ち寄り行動,行動誘発,観光行動誘発,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K18285,東京経済大学,小林 誠,ポリネシア・ツバルにおける気候変動ツーリズムと観光経験,本研究は、ポリネシア・ツバルを事例に、気候変動ツーリズムにおける観光経験を具体的に明らかにした。観光者は現地で見たものを積極的に気候変動という文脈に位置付けることで、景観を「消えゆく」ものとして意味づけており、その際にメディアや現地ガイドが大きな影響を与えていたことがわかった。また、観光者の多くが何らかの倫理的な責任を感じており、彼らの倫理は加害者の日本人である自分たちと、被害者のツバル人である彼らという構図に基づくものであった。ただし、そうした構図にとらわれない人と人との出会いとつながりの場として観光をとらえる者もおり、具体的なつながりの中で倫理的な態度が育まれる可能性を見出すことができる。,若手研究,小区分80020:観光学関連,気候変動ツーリズム,観光経験,消えゆく景観,ポリネシア,ツバル,島,観光,気候変動,経験,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K18284,東海大学,栗原 剛,地域の観光施策立案・評価に向けた統計データ分析に関する研究,本研究は、地域の観光計画を支援するため、観光施策の立案と評価に資する観光統計データ活用のあり方を検討した。観光施策評価に関して、全国地域の現状を分析し、公的データが使われていない実態を明らかにした。また、現行統計の集計方法を見直すことで、新たに2割程度の地域がデータを活用できることを提示した、他方、施策立案に関して、富士河口湖町を対象として観光客への調査データを用いてテキスト分析を行った結果、季節や国籍による観光ニーズの違いが明示され、そこから地域の観光課題を特定することに成功した。,若手研究,小区分80020:観光学関連,観光統計データ,観光政策,政策評価,地域観光,観光施策評価,観光施策立案,テキストマイニング,観光施策立案・評価,地域,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K18283,高崎経済大学,安田 慎,イスラミック・ツーリズムにおける観光経験のコンテクスト・プラクティスをめぐる研究,本研究は、イスラミック・ツーリズムをめぐる観光経験の社会的意義を考察するものであった。本研究を通じて、①イスラミック・ツーリズムが、イスラームが過去から積み重ねた伝統に依拠しながら、現代の社会環境に沿った形で再解釈されてきた点、②イスラミック・ツーリズムにおける観光経験が、社会におけるライフスタイルや生活実践のモデルを形成する場となっている点、③イスラミック・ツーリズムの観光経験が、他者との無数のモラル・コミュニケーションを生み出すメディアとしての役割を果たしている点、④観光経験をめぐるモラル・コミュニケーションを生み出す基盤として、イスラーム金融・経済が重要な役割を果たす点、の4つを示した。,若手研究,小区分80020:観光学関連,イスラーム,ツーリズム,観光経験,コミュニケーション,メディア,モラル,イスラミック・ツーリズム,コンテクスト・プラクティス,コンテクスト,資源フロー,ガイド,文明遺産,ムスリム観光客,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K18282,秀明大学,飯塚 遼,多層ネットワーク構造形成によるフード・ツーリズムの持続性に関する研究,本研究では、ベルギーの農村部を対象として現代ヨーロッパ農村におけるフード・ツーリズムを構成する多層レベルのアクターの役割と、それらの関係性についてアクターネットワークの観点を応用して明らかにした。そこでは、アクター間の機能的棲み分けが行われていた一方で、国境を越えてルーラリティの共有がなされ、それに基づく一貫したフード・ツーリズムのプロモーションが実践されていた。そのようなルーラリティに基づくネットワーク構造が、フード・ツーリズムの持続性に寄与していた。,若手研究,小区分80020:観光学関連,フード・ツーリズム,多層ネットワーク構造,農村資源,ルーラリティ,アクターネットワーク,農村地域,農村景観,西フランデレン州,ノール県,ベバリッジ・ツーリズム,ビール醸造,西オーストラリア州,広域観光圏,農村,観光地域,ヨーロッパ,地理学,多層ネットワーク,フランデレン地方,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K18281,名桜大学,卯田 卓矢,近現代の比叡山におけるツーリズム空間化による教団システムの変容,本研究の成果は主に二つある。第一に、戦前期の延暦寺は鋼索鉄道開業によって参拝者増加という当初の目標を達成したものの、ツーリズム空間化する中で、無断露店の侵入、肉食提供の要望、荘厳さの低下などにさらされ、それらを注視し続ける状況に陥っていたことを明らかにした。第二に、戦後の自動車道建設において、延暦寺関係者が開業前に境内整備計画を構想し、観光収益に基づいた財源確保を目指していたこと、一方でこの計画が観光重視と理解されたことで批判され、中止に追い込まれたことを明らかにした。この研究では比叡山延暦寺を対象として、聖地とツーリズムの複雑な関係性を聖地管理者の視点から初めて通時的に明らかにした。,若手研究,小区分80020:観光学関連,ツーリズム,聖地,比叡山,延暦寺,交通史,観光開発,教団システム,観光地理学,ケーブルカー,自動車道,正当性,参拝者,鋼索鉄道,自然保護,交通機関,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K18280,奈良県立大学,大和 里美,価値共創の視点からの移住・定住促進に関する研究,沖縄県竹富町竹富島と石垣市を対象に事例研究を行い、S-D logicの視点から移住・定住に繋がる価値共創のメカニズムについて考察した。その結果、(1)移住・定住を促進するためには、外部者と住民との価値共創の場を積極的に設けることが重要であり、(2)効率的・効果的な移住支援のためには、定住者を中心とした民間組織を活用することも有効である。また(3)地域が主体的に移住促進のプロセスに関わることや価値が共創される文脈において移住者の属性に応じたマネジメントを行うことが定住促進に繋がることが明らかになった。,若手研究,小区分80020:観光学関連,移住・定住,価値共創,S-D logic,文脈価値,プロセス・マネジメント,ネットワーク,心理学的アプローチ,S-Dロジック,中間支援組織,ネットワーク分析,社会心理学,竹富島,オペラント資源,地域振興,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
